Provided_col_name,final_col_name,cand_tab,obs_tab,sed_tab,dtype,astropy_unit_str,doc_description,Add Comments here!
ID_PHANGS_CLUSTERS_v1p2,ID_PHANGS_CANDIDATE,1,1,1,int,,"ID in the PHANGS-HST candidate catalog for each individual target, for cross-identification.",
ID_PHANGS_ALLSOURCES_v1p2,ID_PHANGS_ALLSOURCES,1,1,1,int,,"ID in the initial PHANGS-HST “all-source” detection catalog for each individual target, for cross-identification.",
PHANGS_X,PHANGS_X,1,1,1,float,pix,X coordinates on HST X-pixel grid (0...n-1). Scale = 0.03962 arcsec/pixel.,
PHANGS_Y,PHANGS_Y,1,1,1,float,pix,Y coordinates on HST Y-pixel grid (0...n-1). Scale = 0.03962 arcsec/pixel.,
PHANGS_RA,PHANGS_RA,1,1,1,float,deg,"J2000 Right ascension, ICRS frame, calibrated against selected Gaia sources.",
PHANGS_DEC,PHANGS_DEC,1,1,1,float,deg,"J2000 Declination, ICRS frame, calibrated against selected Gaia sources.",
PHANGS_CLUSTER_CLASS_HUMAN,PHANGS_CLUSTER_CLASS_HUMAN,1,1,0,int,,,
PHANGS_CLUSTER_CLASS_ML_VGG,PHANGS_CLUSTER_CLASS_ML_VGG,1,1,0,int,,,
PHANGS_CLUSTER_CLASS_ML_VGG_QUAL,PHANGS_CLUSTER_CLASS_ML_VGG_QUAL,1,1,0,float,,,
PHANGS_F275W_VEGA_TOT,PHANGS_F275W_VEGA,1,1,0,float,mag,,
PHANGS_F275W_VEGA_TOT_ERR,PHANGS_F275W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F336W_VEGA_TOT,PHANGS_F336W_VEGA,1,1,0,float,mag,,
PHANGS_F336W_VEGA_TOT_ERR,PHANGS_F336W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F435W_VEGA_TOT,PHANGS_F435W_VEGA,1,1,0,float,mag,,
PHANGS_F435W_VEGA_TOT_ERR,PHANGS_F435W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F438W_VEGA_TOT,PHANGS_F438W_VEGA,1,1,0,float,mag,,
PHANGS_F438W_VEGA_TOT_ERR,PHANGS_F438W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F555W_VEGA_TOT,PHANGS_F555W_VEGA,1,1,0,float,mag,,
