Provided_col_name,final_col_name,sed_tab,dtype,astropy_unit_str,doc_description,Add Comments here!
bayes.attenuation.A550,,,,,,
bayes.attenuation.A550_err,,,,,,
bayes.attenuation.F275W_UVIS_CHIP2,,,,,,
bayes.attenuation.F275W_UVIS_CHIP2_err,,,,,,
bayes.attenuation.F336W_UVIS_CHIP2,,,,,,
bayes.attenuation.F336W_UVIS_CHIP2_err,,,,,,
bayes.attenuation.F438W_UVIS_CHIP2,,,,,,
bayes.attenuation.F438W_UVIS_CHIP2_err,,,,,,
bayes.attenuation.F555W_UVIS_CHIP2,,,,,,
bayes.attenuation.F555W_UVIS_CHIP2_err,,,,,,
bayes.attenuation.F814W_UVIS_CHIP2,,,,,,
bayes.attenuation.F814W_UVIS_CHIP2_err,,,,,,
bayes.attenuation.HST_ACS_WFC.F658N,,,,,,
bayes.attenuation.HST_ACS_WFC.F658N_err,,,,,,
bayes.dust.alpha,,,,,,
bayes.dust.alpha_err,,,,,,
bayes.dust.gamma,,,,,,
bayes.dust.gamma_err,,,,,,
bayes.dust.qpah,,,,,,
bayes.dust.qpah_err,,,,,,
bayes.dust.umean,,,,,,
bayes.dust.umean_err,,,,,,
bayes.dust.umin,,,,,,
bayes.dust.umin_err,,,,,,
bayes.nebular.f_dust,,,,,,
bayes.nebular.f_dust_err,,,,,,
bayes.nebular.f_esc,,,,,,
bayes.nebular.f_esc_err,,,,,,
bayes.nebular.lines_width,,,,,,
bayes.nebular.lines_width_err,,,,,,
bayes.nebular.logU,,,,,,
bayes.nebular.logU_err,,,,,,
bayes.nebular.ne,,,,,,
bayes.nebular.ne_err,,,,,,
bayes.nebular.zgas,,,,,,
bayes.nebular.zgas_err,,,,,,
bayes.sfh.age,,,,,,
bayes.sfh.age_err,,,,,,
bayes.sfh.burst_age,,,,,,
bayes.sfh.burst_age_err,,,,,,
bayes.sfh.f_burst,,,,,,
bayes.sfh.f_burst_err,,,,,,
bayes.sfh.tau_burst,,,,,,
bayes.sfh.tau_burst_err,,,,,,
bayes.sfh.tau_main,,,,,,
bayes.sfh.tau_main_err,,,,,,
bayes.stellar.age_m_star,,,,,,
bayes.stellar.age_m_star_err,,,,,,
bayes.stellar.beta0,,,,,,
bayes.stellar.beta0_err,,,,,,
bayes.stellar.imf,,,,,,
bayes.stellar.imf_err,,,,,,
bayes.stellar.metallicity,,,,,,
bayes.stellar.metallicity_err,,,,,,
bayes.stellar.old_young_separation_age,,,,,,
bayes.stellar.old_young_separation_age_err,,,,,,
bayes.universe.age,,,,,,
bayes.universe.age_err,,,,,,
bayes.universe.luminosity_distance,,,,,,
bayes.universe.luminosity_distance_err,,,,,,
bayes.universe.redshift,,,,,,
bayes.universe.redshift_err,,,,,,
bayes.dust.luminosity,,,,,,
bayes.dust.luminosity_err,,,,,,
bayes.dust.mass,,,,,,
bayes.dust.mass_err,,,,,,
bayes.sfh.integrated,,,,,,
bayes.sfh.integrated_err,,,,,,
bayes.sfh.sfr,,,,,,
bayes.sfh.sfr_err,,,,,,
bayes.sfh.sfr100Myrs,,,,,,
bayes.sfh.sfr100Myrs_err,,,,,,
bayes.sfh.sfr10Myrs,,,,,,
bayes.sfh.sfr10Myrs_err,,,,,,
bayes.stellar.lum,,,,,,
bayes.stellar.lum_err,,,,,,
bayes.stellar.lum_ly,,,,,,
